2009-03-05 50458
2009-03-06 51898
2009-03-07 45310
2009-03-08 51337
2009-03-09 57664
2009-03-10 50744
2009-03-11 52508
2009-03-12 51982
2009-03-13 52218
2009-03-14 54825
2009-03-15 50471
2009-03-18 52977
2009-03-19 52099
2009-03-20 58420
2009-03-21 59665
2009-03-22 61894
2009-03-23 51100
2009-03-24 58169
2009-03-25 63226
2009-03-26 63916
2009-03-27 61195
2009-03-28 61754
2009-03-29 58436
2009-03-30 61450
2009-03-31 61388
2009-04-01 61975
2009-04-02 61872
2009-04-03 62981
2009-04-04 67873
2009-04-05 67303
2009-04-06 65340
2009-04-07 61561
2009-04-08 68380
2009-04-09 65601
2009-04-10 60778
2009-04-11 60064
2009-04-12 72320
2009-04-13 67061
2009-04-15 66972
2009-04-16 67677
2009-04-17 68196
2009-04-18 70919
2009-04-19 70436
2009-04-20 69624
2009-04-21 71378
2009-04-23 75115
2009-04-24 73600
2009-04-25 67450
2009-04-29 74711
2009-04-30 75703
2009-05-01 79902
2009-05-02 77403
2009-05-03 73986
2009-05-04 79956
2009-05-05 77457
2009-05-06 77450
2009-05-07 80087
2009-05-08 76851
2009-05-09 78842
2009-05-10 78946
2009-05-11 76261
2009-05-12 78422
2009-05-13 84450
2009-05-14 85628
2009-05-15 81875
2009-05-16 78601
2009-05-17 80768
2009-05-18 83494
2009-05-19 80270
2009-05-20 83290
2009-05-21 86825
2009-05-22 85284
2009-05-23 82276
2009-05-24 86863
2009-05-25 90158
2009-05-26 89664
2009-05-27 90377
2009-05-28 89435
2009-05-29 93288
2009-05-30 92424
2009-05-31 88885
2009-06-01 90846
2009-06-02 86189
2009-06-03 94775
2009-06-04 92129
2009-06-05 85502

